code,distillery,region,country,status,is_closed
1,Glenfarclas,Speyside,Scotland,operational,False
2,Glenlivet,Speyside,Scotland,operational,False
3,Bowmore,Islay,Scotland,operational,False
4,Highland Park,Islands,Scotland,operational,False
5,Auchentoshan,Lowland,Scotland,operational,False
6,Macduff,Highland,Scotland,operational,False
7,Longmorn,Speyside,Scotland,operational,False
8,Tamdhu,Speyside,Scotland,operational,False
9,Glen Grant,Speyside,Scotland,operational,False
10,Bunnahabhain,Islay,Scotland,operational,False
11,Tomatin,Highland,Scotland,operational,False
12,BenRiach,Speyside,Scotland,operational,False
13,Dalmore,Highland,Scotland,operational,False
14,Talisker,Islands,Scotland,operational,False
15,Glenfiddich,Speyside,Scotland,operational,False
16,Glenturret,Highland,Scotland,operational,False
17,Scapa,Islands,Scotland,operational,False
18,Inchgower,Speyside,Scotland,operational,False
19,Glen Garioch,Highland,Scotland,operational,False
20,Inverleven,Lowland,Scotland,closed,True
21,Glenglassaugh,Highland,Scotland,operational,False
22,Glenkinchie,Lowland,Scotland,operational,False
23,Bruichladdich,Islay,Scotland,operational,False
24,Macallan,Speyside,Scotland,operational,False
25,Rosebank,Lowland,Scotland,reopening,False
26,Clynelish,Highland,Scotland,operational,False
27,Springbank,Campbeltown,Scotland,operational,False
28,Tullibardine,Highland,Scotland,operational,False
29,Laphroaig,Islay,Scotland,operational,False
30,Glenrothes,Speyside,Scotland,operational,False
31,Isle of Jura,Islands,Scotland,operational,False
32,Edradour,Highland,Scotland,operational,False
33,Ardbeg,Islay,Scotland,operational,False
34,Tamnavulin,Speyside,Scotland,operational,False
35,Glen Moray,Speyside,Scotland,operational,False
36,Benrinnes,Speyside,Scotland,operational,False
37,Cragganmore,Speyside,Scotland,operational,False
38,Caperdonich,Speyside,Scotland,closed,True
39,Linkwood,Speyside,Scotland,operational,False
40,Balvenie,Speyside,Scotland,operational,False
41,Dailuaine,Speyside,Scotland,operational,False
42,Tobermory,Islands,Scotland,operational,False
43,Port Ellen,Islay,Scotland,reopening,True
44,Craigellachie,Speyside,Scotland,operational,False
45,Dallas Dhu,Speyside,Scotland,closed,True
46,Glenlossie,Speyside,Scotland,operational,False
47,Benromach,Speyside,Scotland,operational,False
48,Balmenach,Speyside,Scotland,operational,False
49,St Magdalene,Lowland,Scotland,closed,True
50,Bladnoch,Lowland,Scotland,operational,False
